handle;titel;merk;type;geen_seo_titel;geen_meta_description;seo_titel_len;woorden_beschrijving;afbeeldingen;afb_zonder_alt;niet_in_publieke_collectie;voorraad_0;handle_kopie_suffix;url
houten-honinglepel;Houten Honinglepel;Arelo;;ja;ja;;0;1;1;;;;https://tanterie.nl/products/houten-honinglepel
thee-ei-hartvorm-met-uitlekschaaltje;Thee-ei - Hartvorm met uitlekschaaltje;Arelo;Theezeefje;ja;ja;;58;5;;;;;https://tanterie.nl/products/thee-ei-hartvorm-met-uitlekschaaltje
best-friend;BEST FRIEND;Blond Amsterdam;;ja;ja;;75;1;1;;;;https://tanterie.nl/products/best-friend
congratulations-party;CONGRATULATIONS PARTY;Blond Amsterdam;;ja;ja;;108;1;1;;;;https://tanterie.nl/products/congratulations-party
cozy-days-light-house-stepped-gable-cozy;COZY DAYS: LIGHT HOUSE STEPPED GABLE COZY;Blond Amsterdam;;ja;ja;;90;1;1;;ja;;https://tanterie.nl/products/cozy-days-light-house-stepped-gable-cozy
dad-1;DAD;Blond Amsterdam;;;;15;147;1;;;ja;ja;https://tanterie.nl/products/dad-1
ed-bord-18-cm-tompouce;ED: BORD 18 CM TOMPOUCE;Blond Amsterdam;;ja;ja;;191;1;1;;;;https://tanterie.nl/products/ed-bord-18-cm-tompouce
ed-plate-18-cm-croissant;ED: PLATE 18 CM CROISSANT;Blond Amsterdam;;;;33;0;1;;;;;https://tanterie.nl/products/ed-plate-18-cm-croissant
game-on;GAME ON;Blond Amsterdam;;ja;ja;;89;1;1;;;;https://tanterie.nl/products/game-on
i-do;I DO;Blond Amsterdam;;ja;ja;;158;1;1;;;;https://tanterie.nl/products/i-do
love-green-girl;LOVE GREEN GIRL;Blond Amsterdam;;;;27;0;1;;;;;https://tanterie.nl/products/love-green-girl
mama;MAMA;Blond Amsterdam;;ja;ja;;81;1;1;;;;https://tanterie.nl/products/mama
miss-brains;MISS BRAINS;Blond Amsterdam;;ja;ja;;108;1;1;;;;https://tanterie.nl/products/miss-brains
miss-creativity;MISS CREATIVITY;Blond Amsterdam;;ja;ja;;68;1;1;;;;https://tanterie.nl/products/miss-creativity
opa;OPA;Blond Amsterdam;;;;47;59;1;;ja;;;https://tanterie.nl/products/opa
the-man;THE MAN;Blond Amsterdam;;ja;ja;;98;1;1;;;;https://tanterie.nl/products/the-man
alfabet-mok;Alfabet mok;Bunzlau Castle;Keramiek;;;40;16;43;;;ja;;https://tanterie.nl/products/alfabet-mok
bewaarblik-rechthoekig-flowerbed-19x15-cm;Bewaarblik Rechthoekig Flowerbed 19x15 cm;Bunzlau Castle;Koekblik;;;53;32;1;;;;;https://tanterie.nl/products/bewaarblik-rechthoekig-flowerbed-19x15-cm
boeren-mok-240-ml;Boeren mok 240 ml;Bunzlau Castle;Keramiek;;;46;18;64;;;;;https://tanterie.nl/products/boeren-mok-240-ml
boeren-mok-370-ml;Boeren mok  370 ml;Bunzlau Castle;Keramiek;;;46;18;59;;;;;https://tanterie.nl/products/boeren-mok-370-ml
boeren-mok-500-ml;Boeren Mok 500 ml;Bunzlau Castle;Keramiek;;;46;18;40;;;;;https://tanterie.nl/products/boeren-mok-500-ml
boeren-mok-90-ml;Boeren Mok 90 ml;Bunzlau Castle;Keramiek;;;45;18;9;;;ja;;https://tanterie.nl/products/boeren-mok-90-ml
bord-diep-o-21-cm;Bord Diep Ø: 21 cm;Bunzlau Castle;Keramiek;;;44;19;12;;;ja;;https://tanterie.nl/products/bord-diep-o-21-cm
bord-o-23-5-cm;Bord Ø: 23,5 cm;Bunzlau Castle;Keramiek;;;41;19;35;;;;;https://tanterie.nl/products/bord-o-23-5-cm
diep-bord-o-23-5-cm;Diep bord Ø: 23,5 cm;Bunzlau Castle;Keramiek;;;46;20;44;;;;;https://tanterie.nl/products/diep-bord-o-23-5-cm
dinerbord-o-25-5-cm-1;Dinerbord Ø: 25,5 cm;Bunzlau Castle;Keramiek;;;46;19;52;;;;ja;https://tanterie.nl/products/dinerbord-o-25-5-cm-1
eierdopje;Eierdopje;Bunzlau Castle;Keramiek;;;38;15;48;;;;;https://tanterie.nl/products/eierdopje
gebaksbord-o-16-cm-1;Gebaksbord Ø: 16 cm;Bunzlau Castle;Keramiek;;;45;18;65;;;;ja;https://tanterie.nl/products/gebaksbord-o-16-cm-1
gewelfde-kom-220-ml-1;Gewelfde Kom 220 ml;Bunzlau Castle;Keramiek;;;48;18;47;;;;ja;https://tanterie.nl/products/gewelfde-kom-220-ml-1
keukenpot-bloempot-o-14-cm;Keukenpot / Bloempot Ø 14 cm;Bunzlau Castle;Keramiek;;;53;19;8;;;;;https://tanterie.nl/products/keukenpot-bloempot-o-14-cm
kom-150-ml;Kom 150 ml;Bunzlau Castle;Keramiek;;;39;17;35;;;;;https://tanterie.nl/products/kom-150-ml
kom-250-ml;Kom 250 ml;Bunzlau Castle;Keramiek;;;39;17;44;;;;;https://tanterie.nl/products/kom-250-ml
kom-450-ml;Kom 450 ml;Bunzlau Castle;Keramiek;;;39;17;44;;;;;https://tanterie.nl/products/kom-450-ml
kom-50-ml;Kom 50 ml;Bunzlau Castle;Keramiek;ja;ja;;0;7;;ja;;;https://tanterie.nl/products/kom-50-ml
kom-800-ml;Kom 800 ml;Bunzlau Castle;Keramiek;;;39;17;45;;;;;https://tanterie.nl/products/kom-800-ml
kom-premium-350-ml;Kom Premium 350 ml;Bunzlau Castle;Keramiek;;;47;18;25;;;;;https://tanterie.nl/products/kom-premium-350-ml
kop-en-schotel-170-ml;Kop en Schotel 170 ml;Bunzlau Castle;Keramiek;;;50;19;19;;;ja;;https://tanterie.nl/products/kop-en-schotel-170-ml
kop-en-schotel-230-ml;Kop en Schotel 230 ml;Bunzlau Castle;Keramiek;;;50;19;20;;;ja;;https://tanterie.nl/products/kop-en-schotel-230-ml
melamine-beker-1;Melamine Beker;Bunzlau Castle;Melamine;;;26;0;4;;ja;;ja;https://tanterie.nl/products/melamine-beker-1
melamine-bord-blooming-o-25-cm;Melamine Bord Blooming Ø: 25 cm;Bunzlau Castle;Melamine;ja;ja;;26;1;;;;;https://tanterie.nl/products/melamine-bord-blooming-o-25-cm
melamine-bord-dragonfly-garden-o-25-cm;Melamine Bord Dragonfly Garden Ø: 25 cm;Bunzlau Castle;Melamine;ja;ja;;27;1;;;;;https://tanterie.nl/products/melamine-bord-dragonfly-garden-o-25-cm
melamine-bord-fleur-fountain-o-25-cm;Melamine Bord Fleur Fountain Ø: 25 cm;Bunzlau Castle;Keramiek;ja;ja;;27;1;;;;;https://tanterie.nl/products/melamine-bord-fleur-fountain-o-25-cm
melamine-bord-wild-flowers-o-25-cm;Melamine Bord Wild Flowers Ø: 25 cm;Bunzlau Castle;Melamine;ja;ja;;27;1;;;;;https://tanterie.nl/products/melamine-bord-wild-flowers-o-25-cm
melamine-kom-fleur-fountain-o-15-cm;Melamine Kom Fleur Fountain Ø: 15 cm;Bunzlau Castle;Melamine;ja;ja;;0;1;;;ja;;https://tanterie.nl/products/melamine-kom-fleur-fountain-o-15-cm
melamine-kom-wild-flowers-o-15-cm;Melamine Kom Wild Flowers Ø: 15 cm;Bunzlau Castle;Melamine;ja;ja;;0;1;;;ja;;https://tanterie.nl/products/melamine-kom-wild-flowers-o-15-cm
melk-mok-230-ml;Melk Mok 230 ml;Bunzlau Castle;Keramiek;;;27;0;2;;;;;https://tanterie.nl/products/melk-mok-230-ml
melkkan-180-ml;Melkkan 180 ml;Bunzlau Castle;Keramiek;;;43;17;26;;;;;https://tanterie.nl/products/melkkan-180-ml
mok-met-oor-340-ml;Mok met Oor 340 ml;Bunzlau Castle;Keramiek;;;47;19;43;;;;;https://tanterie.nl/products/mok-met-oor-340-ml
mok-tumbler-100-ml;Mok Tumbler 100 ml;Bunzlau Castle;Keramiek;;;47;18;45;;;ja;;https://tanterie.nl/products/mok-tumbler-100-ml
mok-tumbler-220-ml;Mok Tumbler 220 ml;Bunzlau Castle;Keramiek;;;47;18;57;;;;;https://tanterie.nl/products/mok-tumbler-220-ml
mok-tumbler-240-ml-1;Mok Tumbler 240 ml;Bunzlau Castle;Keramiek;;;47;18;41;;;ja;ja;https://tanterie.nl/products/mok-tumbler-240-ml-1
mok-tumbler-350-ml;Mok Tumbler 350 ml;Bunzlau Castle;Keramiek;;;47;18;15;;;;;https://tanterie.nl/products/mok-tumbler-350-ml
ontbijtbord-o-20-cm;Ontbijtbord Ø: 20 cm;Bunzlau Castle;Keramiek;;;46;18;60;;;;;https://tanterie.nl/products/ontbijtbord-o-20-cm
ovale-schaal;Ovale schaal;Bunzlau Castle;Keramiek;;;41;16;26;;;;;https://tanterie.nl/products/ovale-schaal
ovenschaal-met-handvaten-1200-ml;Ovenschaal met Handvaten  1200 ml;Bunzlau Castle;Keramiek;;;61;19;10;;;;;https://tanterie.nl/products/ovenschaal-met-handvaten-1200-ml
ovenschaal-rechthoekig-1880-ml;Ovenschaal Rechthoekig 1880 ml;Bunzlau Castle;Keramiek;;;59;18;38;;;;;https://tanterie.nl/products/ovenschaal-rechthoekig-1880-ml
